,episode_length,ep_reward,episodes,total_step,average_return
0,20,-1.0,0,20,-1.0
1,20,0.0,100,2020,0.1
2,20,0.0,200,4020,0.07
3,20,1.0,300,6020,0.25
4,20,1.0,400,8020,0.68
5,20,0.0,500,10020,0.7
6,20,1.0,600,12020,0.59
7,20,1.0,700,14020,0.76
8,20,1.0,800,16020,0.83
9,20,0.0,900,18020,0.99
10,20,1.0,1000,20020,0.95
11,20,1.0,1100,22020,1.16
12,20,1.0,1200,24020,1.14
13,20,2.0,1300,26020,1.08
14,20,0.0,1400,28020,1.16
15,20,0.0,1500,30020,1.3
16,20,2.0,1600,32020,1.33
17,20,1.0,1700,34020,1.4
18,20,1.0,1800,36020,1.43
19,20,1.0,1900,38020,1.55
20,20,2.0,2000,40020,1.62
21,20,3.0,2100,42020,1.61
22,20,1.0,2200,44020,1.67
23,20,0.0,2300,46020,1.66
24,20,2.0,2400,48020,1.88
25,20,2.0,2500,50020,1.77
26,20,2.0,2600,52020,1.89
27,20,0.0,2700,54020,1.88
28,20,3.0,2800,56020,1.94
29,20,1.0,2900,58020,1.95
30,20,2.0,3000,60020,1.89
31,20,2.0,3100,62020,1.81
32,20,2.0,3200,64020,1.9
33,20,2.0,3300,66020,1.69
34,20,2.0,3400,68020,1.95
35,20,3.0,3500,70020,1.92
36,20,3.0,3600,72020,2.09
37,20,2.0,3700,74020,1.99
38,20,3.0,3800,76020,1.95
39,20,3.0,3900,78020,1.98
40,20,2.0,4000,80020,1.84
41,20,3.0,4100,82020,2.05
42,20,3.0,4200,84020,1.89
43,20,2.0,4300,86020,1.91
44,20,3.0,4400,88020,2.08
45,20,0.0,4500,90020,2.11
46,20,2.0,4600,92020,1.88
47,20,3.0,4700,94020,1.85
48,20,2.0,4800,96020,1.95
49,20,2.0,4900,98020,2.09
50,20,2.0,5000,100020,1.87
