,episode_length,ep_reward,episodes,total_step,average_return
0,20,-1.0,0,20,-1.0
1,20,0.0,100,2020,0.36
2,20,1.0,200,4020,0.31
3,20,1.0,300,6020,0.4
4,20,0.0,400,8020,0.76
5,20,0.0,500,10020,0.53
6,20,1.0,600,12020,0.63
7,20,2.0,700,14020,0.64
8,20,0.0,800,16020,0.61
9,20,1.0,900,18020,0.53
10,20,0.0,1000,20020,0.55
11,20,0.0,1100,22020,0.53
12,20,0.0,1200,24020,0.47
13,20,1.0,1300,26020,0.5
14,20,0.0,1400,28020,0.53
15,20,0.0,1500,30020,0.59
16,20,0.0,1600,32020,0.53
17,20,1.0,1700,34020,0.48
18,20,0.0,1800,36020,0.55
19,20,-1.0,1900,38020,0.54
20,20,1.0,2000,40020,0.15
21,20,1.0,2100,42020,0.71
22,20,1.0,2200,44020,0.66
23,20,0.0,2300,46020,0.76
24,20,1.0,2400,48020,0.83
25,20,2.0,2500,50020,0.96
26,20,2.0,2600,52020,0.84
27,20,1.0,2700,54020,0.9
28,20,0.0,2800,56020,0.94
29,20,0.0,2900,58020,0.99
30,20,2.0,3000,60020,1.1
31,20,2.0,3100,62020,0.89
32,20,1.0,3200,64020,0.95
33,20,1.0,3300,66020,1.0
34,20,2.0,3400,68020,0.87
35,20,2.0,3500,70020,1.02
36,20,1.0,3600,72020,1.09
37,20,1.0,3700,74020,0.75
38,20,0.0,3800,76020,1.06
39,20,0.0,3900,78020,0.92
40,20,0.0,4000,80020,0.93
41,20,1.0,4100,82020,0.97
42,20,0.0,4200,84020,0.92
43,20,1.0,4300,86020,0.81
44,20,0.0,4400,88020,0.85
45,20,0.0,4500,90020,0.94
46,20,2.0,4600,92020,0.89
47,20,1.0,4700,94020,1.07
48,20,0.0,4800,96020,1.02
49,20,1.0,4900,98020,0.96
50,20,0.0,5000,100020,0.9
